"c_representative","c_section","c_size"
"8250/16?50 (AND CLONE UARTS) SERIAL DRIVER","8250/16?50 (AND CLONE UARTS) SERIAL DRIVER",227
"A64FX DIAG DRIVER","A64FX DIAG DRIVER",151
"ABI/API","ABI/API",1700
"ACPI","ACPI",207114
"ACPI","ACPI APEI",5796
"ACPI","ACPI COMPONENT ARCHITECTURE (ACPICA)",116551
"ACPI","ACPI FOR ARM64 (ACPI/arm64)",3238
"ACPI","ACPI FOR RISC-V (ACPI/riscv)",764
"ACPI","ACPI PMIC DRIVERS",2493
"ACPI","ACPI THERMAL DRIVER",1615
"ACPI","ACPI VIOT DRIVER",394
"ACPI","AUXILIARY BUS DRIVER",746
"ACPI","DEVICE COREDUMP (DEV_COREDUMP)",578
"ACPI","DRIVER COMPONENT FRAMEWORK",955
"ACPI","DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS",61214
"ACPI","DYNAMIC THERMAL POWER MANAGEMENT (DTPM)",1283
"ACPI","FIRMWARE LOADER (request_firmware)",4059
"ACPI","FREEZER",584
"ACPI","GENERIC ARCHITECTURE TOPOLOGY",1011
"ACPI","HIBERNATION (aka Software Suspend, aka swsusp)",24570
"ACPI","ISA",406
"ACPI","ISAPNP",1356
"ACPI","LIBNVDIMM BTT: BLOCK TRANSLATION TABLE",2332
"ACPI","LIBNVDIMM PMEM: PERSISTENT MEMORY DRIVER",817
"ACPI","LIBNVDIMM: DEVICETREE BINDINGS",179
"ACPI","LIBNVDIMM: NON-VOLATILE MEMORY DEVICE SUBSYSTEM",26377
"ACPI","PNP SUPPORT",9108
"ACPI","POWER MANAGEMENT CORE",19636
"ACPI","PSTORE FILESYSTEM",7970
"ACPI","REGISTER MAP ABSTRACTION",15632
"ACPI","SOFTWARE NODES AND DEVICE PROPERTIES",3347
"ACPI","SUSPEND TO RAM",30308
"ACPI","VIRTIO PMEM DRIVER",299
"ADDRESS SPACE LAYOUT RANDOMIZATION (ASLR)","ADDRESS SPACE LAYOUT RANDOMIZATION (ASLR)",0
"ANDROID DRIVERS","ANDROID DRIVERS",10871
"ARM PORT","ALIBABA PMU DRIVER",928
"ARM PORT","AMLOGIC DDR PMU DRIVER",1162
"ARM PORT","APPLIED MICRO (APM) X-GENE SOC PMU",2116
"ARM PORT","ARM INTERCONNECT PMU DRIVERS",4005
"ARM PORT","ARM MFM AND FLOPPY DRIVERS",112
"ARM PORT","ARM PMU PROFILING AND DEBUGGING",46170
"ARM PORT","ARM PORT",303032
"ARM PORT","ARM SUB-ARCHITECTURES",152150
"ARM PORT","ARM/CALXEDA HIGHBANK ARCHITECTURE",884
"ARM PORT","ARM/FARADAY FA526 PORT",613
"ARM PORT","ARM/FOOTBRIDGE ARCHITECTURE",2866
"ARM PORT","ARM/HP JORNADA 7XX MACHINE SUPPORT",408
"ARM PORT","ARM/Marvell Dove/MV78xx0/Orion SOC support",17209
"ARM PORT","ARM/Orion SoC/Technologic Systems TS-78xx platform support",616
"ARM PORT","ARM/VFP SUPPORT",4124
"ARM PORT","BPF JIT for ARM",2577
"ARM PORT","COMPUTE EXPRESS LINK PMU (CPMU)",1048
"ARM PORT","CPUIDLE DRIVER - ARM EXYNOS",498
"ARM PORT","FREESCALE IMX DDR PMU DRIVER",1013
"ARM PORT","HISILICON HNS3 PMU DRIVER",1810
"ARM PORT","HISILICON PMU DRIVER",7558
"ARM PORT","LEGO MINDSTORMS EV3",753
"ARM PORT","OMAP CLOCK FRAMEWORK SUPPORT",6834
"ARM PORT","OMAP HWMOD DATA",6111
"ARM PORT","OMAP HWMOD SUPPORT",10733
"ARM PORT","OMAP I2C DRIVER",1723
"ARM PORT","OMAP POWER MANAGEMENT SUPPORT",3306
"ARM PORT","OMAP POWERDOMAIN SOC ADAPTATION LAYER SUPPORT",4843
"ARM PORT","OMAP1 SUPPORT",14959
"ARM PORT","OMAP2+ SUPPORT",74828
"ARM PORT","PCMCIA SUBSYSTEM",22620
"ARM PORT","PXA2xx/PXA3xx SUPPORT",27940
"ARM PORT","RISC-V PMU DRIVERS",2081
"ARM PORT","STARFIVE STARLINK PMU DRIVER",734
"ARM PORT","SYNOPSYS DESIGNWARE PCIE PMU DRIVER",880
"ARM PORT","TI DAVINCI MACHINE SUPPORT",6722
"ARM PORT","XEN HYPERVISOR ARM",1160
"ARM/CIRRUS LOGIC BK3 MACHINE SUPPORT","ARM/CIRRUS LOGIC BK3 MACHINE SUPPORT",0
"ARM/CLKDEV SUPPORT","ARM/CLKDEV SUPPORT",419
"ARM/GUMSTIX MACHINE SUPPORT","ARM/GUMSTIX MACHINE SUPPORT",0
"ARM/INTEL XSC3 (MANZANO) ARM CORE","ARM/INTEL XSC3 (MANZANO) ARM CORE",0
"ARM64 PLATFORM DRIVERS","ARM64 PLATFORM DRIVERS",914
"AUXILIARY DISPLAY DRIVERS","AUXILIARY DISPLAY DRIVERS",8142
"AUXILIARY DISPLAY DRIVERS","CFAG12864B LCD DRIVER",448
"AUXILIARY DISPLAY DRIVERS","CFAG12864BFB LCD FRAMEBUFFER DRIVER",237
"AUXILIARY DISPLAY DRIVERS","HT16K33 LED CONTROLLER DRIVER",888
"AUXILIARY DISPLAY DRIVERS","IMGTEC ASCII LCD DRIVER",356
"AUXILIARY DISPLAY DRIVERS","KS0108 LCD CONTROLLER DRIVER",256
"AUXILIARY DISPLAY DRIVERS","PARALLEL LCD/KEYPAD PANEL DRIVER",1740
"BCACHE (BLOCK LAYER CACHE)","BCACHE (BLOCK LAYER CACHE)",18419
"BLOCK LAYER","ATA OVER ETHERNET (AOE) DRIVER",3955
"BLOCK LAYER","BFQ I/O SCHEDULER",12657
"BLOCK LAYER","BLOCK LAYER",172225
"BLOCK LAYER","BSG (block layer generic sg v4 driver)",363
"BLOCK LAYER","CONTROL GROUP - BLOCK IO CONTROLLER (BLKIO)",10329
"BLOCK LAYER","DRBD DRIVER",34082
"BLOCK LAYER","FLOPPY DRIVER",5037
"BLOCK LAYER","GUID PARTITION TABLE (GPT)",872
"BLOCK LAYER","LOGICAL DISK MANAGER SUPPORT (LDM, Windows 2000/XP/Vista Dynamic Disks)",1801
"BLOCK LAYER","NETWORK BLOCK DEVICE (NBD)",2913
"BLOCK LAYER","PKTCDVD DRIVER",3216
"BLOCK LAYER","RADOS BLOCK DEVICE (RBD)",7719
"BLOCK LAYER","RAMDISK RAM BLOCK DEVICE DRIVER",633
"BLOCK LAYER","RNBD BLOCK DRIVERS",4545
"BLOCK LAYER","SECURE ENCRYPTING DEVICE (SED) OPAL DRIVER",4134
"BLOCK LAYER","UBLK USERSPACE BLOCK DRIVER",3795
"BLOCK LAYER","XEN BLOCK SUBSYSTEM",5795
"BLOCK LAYER","XEN HYPERVISOR INTERFACE",54588
"BLOCK LAYER","XEN PCI SUBSYSTEM",1684
"BLOCK LAYER","XEN PVSCSI DRIVERS",3465
"BLOCK LAYER","XEN SWIOTLB SUBSYSTEM",472
"BLOCK LAYER","ZRAM COMPRESSED RAM BLOCK DEVICE DRVIER",4664
"BPF [MISC]","BPF [MISC]",0
"BROADCOM SPECIFIC AMBA DRIVER (BCMA)","BROADCOM SPECIFIC AMBA DRIVER (BCMA)",8193
"CHAR and MISC DRIVERS","ACER ASPIRE ONE TEMPERATURE AND FAN DRIVER",771
"CHAR and MISC DRIVERS","ACER WMI LAPTOP EXTRAS",2898
"CHAR and MISC DRIVERS","ACPI QUICKSTART DRIVER",246
"CHAR and MISC DRIVERS","ACPI SERIAL MULTI INSTANTIATE DRIVER",418
"CHAR and MISC DRIVERS","ACPI WMI DRIVER",2353
"CHAR and MISC DRIVERS","AD525X ANALOG DEVICES DIGITAL POTENTIOMETERS DRIVER",763
"CHAR and MISC DRIVERS","ADVANTECH SWBTN DRIVER",119
"CHAR and MISC DRIVERS","ALIENWARE WMI DRIVER",842
"CHAR and MISC DRIVERS","AMD HSMP DRIVER",1525
"CHAR and MISC DRIVERS","AMD PMC DRIVER",1840
"CHAR and MISC DRIVERS","AMD PMF DRIVER",4056
"CHAR and MISC DRIVERS","ASUS NOTEBOOKS AND EEEPC ACPI/WMI EXTRAS DRIVERS",10633
"CHAR and MISC DRIVERS","ASUS TF103C DOCK DRIVER",943
"CHAR and MISC DRIVERS","ASUS WIRELESS RADIO CONTROL DRIVER",198
"CHAR and MISC DRIVERS","AT24 EEPROM DRIVER",1096
"CHAR and MISC DRIVERS","BARCO P50 GPIO DRIVER",436
"CHAR and MISC DRIVERS","BROADCOM VK DRIVER",4515
"CHAR and MISC DRIVERS","CHAR and MISC DRIVERS",161270
"CHAR and MISC DRIVERS","CMPC ACPI DRIVER",1141
"CHAR and MISC DRIVERS","COMPAL LAPTOP SUPPORT",1113
"CHAR and MISC DRIVERS","CXL (IBM Coherent Accelerator Processor Interface CAPI) DRIVER",14369
"CHAR and MISC DRIVERS","DELL LAPTOP DRIVER",2604
"CHAR and MISC DRIVERS","DELL LAPTOP FREEFALL DRIVER",192
"CHAR and MISC DRIVERS","DELL LAPTOP RBTN DRIVER",513
"CHAR and MISC DRIVERS","DELL PC DRIVER",309
"CHAR and MISC DRIVERS","DELL REMOTE BIOS UPDATE DRIVER",677
"CHAR and MISC DRIVERS","DELL SMBIOS DRIVER",1283
"CHAR and MISC DRIVERS","DELL SMBIOS SMM DRIVER",154
"CHAR and MISC DRIVERS","DELL SMBIOS WMI DRIVER",552
"CHAR and MISC DRIVERS","DELL SYSTEMS MANAGEMENT BASE DRIVER (dcdbas)",997
"CHAR and MISC DRIVERS","DELL WMI DDV DRIVER",1231
"CHAR and MISC DRIVERS","DELL WMI DESCRIPTOR DRIVER",205
"CHAR and MISC DRIVERS","DELL WMI HARDWARE PRIVACY SUPPORT",401
"CHAR and MISC DRIVERS","DELL WMI NOTIFICATIONS DRIVER",852
"CHAR and MISC DRIVERS","DELL WMI SYSMAN DRIVER",2458
"CHAR and MISC DRIVERS","DESIGNWARE XDATA IP DRIVER",484
"CHAR and MISC DRIVERS","DOUBLETALK DRIVER",749
"CHAR and MISC DRIVERS","ENE CB710 FLASH CARD READER DRIVER",1708
"CHAR and MISC DRIVERS","FUJITSU LAPTOP EXTRAS",1147
"CHAR and MISC DRIVERS","FUJITSU TABLET EXTRAS",541
"CHAR and MISC DRIVERS","GENWQE (IBM Generic Workqueue Card)",6778
"CHAR and MISC DRIVERS","GIGABYTE WMI DRIVER",164
"CHAR and MISC DRIVERS","GPD POCKET FAN DRIVER",224
"CHAR and MISC DRIVERS","HARD DRIVE ACTIVE PROTECTION SYSTEM (HDAPS) DRIVER",627
"CHAR and MISC DRIVERS","HEWLETT PACKARD ENTERPRISE ILO CHIF DRIVER",1141
"CHAR and MISC DRIVERS","HIKEY960 ONBOARD USB GPIO HUB DRIVER",274
"CHAR and MISC DRIVERS","HP BIOSCFG DRIVER",4621
"CHAR and MISC DRIVERS","HP COMPAQ TC1100 TABLET WMI EXTRAS DRIVER",263
"CHAR and MISC DRIVERS","HPET:	High Precision Event Timers driver",1205
"CHAR and MISC DRIVERS","IBM Power Virtual Management Channel Driver",2628
"CHAR and MISC DRIVERS","IDEAPAD LAPTOP EXTRAS DRIVER",2347
"CHAR and MISC DRIVERS","INTEL ATOMISP2 DUMMY / POWER-MANAGEMENT DRIVER",143
"CHAR and MISC DRIVERS","INTEL ATOMISP2 LED DRIVER",117
"CHAR and MISC DRIVERS","INTEL BIOS SAR INT1092 DRIVER",422
"CHAR and MISC DRIVERS","INTEL HID EVENT DRIVER",792
"CHAR and MISC DRIVERS","INTEL IN FIELD SCAN (IFS) DEVICE",2411
"CHAR and MISC DRIVERS","INTEL ISHTP ECLITE DRIVER",703
"CHAR and MISC DRIVERS","INTEL MANAGEMENT ENGINE (mei)",22052
"CHAR and MISC DRIVERS","INTEL P-Unit IPC DRIVER",437
"CHAR and MISC DRIVERS","INTEL PMC CORE DRIVER",6230
"CHAR and MISC DRIVERS","INTEL PMT DRIVERS",1324
"CHAR and MISC DRIVERS","INTEL SCU DRIVERS",1134
"CHAR and MISC DRIVERS","INTEL SDSI DRIVER",1851
"CHAR and MISC DRIVERS","INTEL SKYLAKE INT3472 ACPI DEVICE DRIVER",1527
"CHAR and MISC DRIVERS","INTEL SPEED SELECT TECHNOLOGY",11350
"CHAR and MISC DRIVERS","INTEL TELEMETRY DRIVER",2765
"CHAR and MISC DRIVERS","INTEL TPMI DRIVER",955
"CHAR and MISC DRIVERS","INTEL UNCORE FREQUENCY CONTROL",1580
"CHAR and MISC DRIVERS","INTEL VENDOR SPECIFIC EXTENDED CAPABILITIES DRIVER",664
"CHAR and MISC DRIVERS","INTEL VIRTUAL BUTTON DRIVER",421
"CHAR and MISC DRIVERS","INTEL WMI SLIM BOOTLOADER (SBL) FIRMWARE UPDATE DRIVER",140
"CHAR and MISC DRIVERS","INTEL WMI THUNDERBOLT FORCE POWER DRIVER",74
"CHAR and MISC DRIVERS","LG LAPTOP EXTRAS",1036
