"c_representative","c_section","c_size"
"802.11 (including CFG80211/NL80211)","802.11 (including CFG80211/NL80211)",79612
"8250/16?50 (AND CLONE UARTS) SERIAL DRIVER","8250/16?50 (AND CLONE UARTS) SERIAL DRIVER",227
"A64FX DIAG DRIVER","A64FX DIAG DRIVER",151
"A8293 MEDIA DRIVER","A8293 MEDIA DRIVER",307
"ABI/API","ABI/API",1732
"ACCES 104-DIO-48E GPIO DRIVER","ACCES 104-DIO-48E GPIO DRIVER",342
"ACCES 104-IDI-48 GPIO DRIVER","ACCES 104-IDI-48 GPIO DRIVER",189
"ACCES 104-IDIO-16 GPIO DRIVER","ACCES 104-IDIO-16 GPIO DRIVER",130
"ACCES IDIO-16 GPIO LIBRARY","ACCES IDIO-16 GPIO LIBRARY",210
"ACCES PCI-IDIO-16 GPIO DRIVER","ACCES PCI-IDIO-16 GPIO DRIVER",116
"ACCES PCIe-IDIO-24 GPIO DRIVER","ACCES PCIe-IDIO-24 GPIO DRIVER",401
"ACPI","ACPI",212450
"ACPI","ACPI APEI",8031
"ACPI","ACPI COMPONENT ARCHITECTURE (ACPICA)",117470
"ACPI","ACPI FOR ARM64 (ACPI/arm64)",3890
"ACPI","ACPI FOR RISC-V (ACPI/riscv)",1392
"ACPI","ACPI PMIC DRIVERS",2493
"ACPI","ACPI THERMAL DRIVER",1596
"ACPI","PSTORE FILESYSTEM",8034
"ACPI PCC(Platform Communication Channel) MAILBOX DRIVER","ACPI PCC(Platform Communication Channel) MAILBOX DRIVER",899
"ACPI QUICKSTART DRIVER","ACPI QUICKSTART DRIVER",237
"ACPI SERIAL MULTI INSTANTIATE DRIVER","ACPI SERIAL MULTI INSTANTIATE DRIVER",435
"ACPI VIOT DRIVER","ACPI VIOT DRIVER",394
"ACRN HYPERVISOR SERVICE MODULE","ACRN HYPERVISOR SERVICE MODULE",3589
"AD5398 CURRENT REGULATOR DRIVER (AD5398/AD5821)","AD5398 CURRENT REGULATOR DRIVER (AD5398/AD5821)",285
"ADDRESS SPACE LAYOUT RANDOMIZATION (ASLR)","ADDRESS SPACE LAYOUT RANDOMIZATION (ASLR)",0
"ADM1029 HARDWARE MONITOR DRIVER","ADM1029 HARDWARE MONITOR DRIVER",405
"ADT746X FAN DRIVER","ADT746X FAN DRIVER",623
"ADVANTECH SWBTN DRIVER","ADVANTECH SWBTN DRIVER",119
"AFFS FILE SYSTEM","AFFS FILE SYSTEM",4964
"AGPGART DRIVER","AGPGART DRIVER",11942
"AIMSLAB FM RADIO RECEIVER DRIVER","AIMSLAB FM RADIO RECEIVER DRIVER",195
"ALTERA MAILBOX DRIVER","ALTERA MAILBOX DRIVER",361
"ALTERA PIO DRIVER","ALTERA PIO DRIVER",340
"AMD 3D V-CACHE PERFORMANCE OPTIMIZER DRIVER","AMD 3D V-CACHE PERFORMANCE OPTIMIZER DRIVER",188
"AMD AE4DMA DRIVER","AMD AE4DMA DRIVER",425
"AMD ASF I2C DRIVER","AMD ASF I2C DRIVER",370
"AMD FCH GPIO DRIVER","AMD FCH GPIO DRIVER",240
"AMD NODE DRIVER","AMD NODE DRIVER",375
"AMD SEATTLE DEVICE TREE SUPPORT","AMD SEATTLE DEVICE TREE SUPPORT",1347
"AMD SEATTLE DEVICE TREE SUPPORT","ARM/AMD PENSANDO ARM64 ARCHITECTURE",629
"ANALOGBITS PLL LIBRARIES","ANALOGBITS PLL LIBRARIES",461
"ANDROID GOLDFISH RTC DRIVER","ANDROID GOLDFISH RTC DRIVER",207
"APTINA CAMERA SENSOR PLL","APTINA CAMERA SENSOR PLL",204
"ARM PMU PROFILING AND DEBUGGING","ALIBABA PMU DRIVER",928
"ARM PMU PROFILING AND DEBUGGING","AMLOGIC DDR PMU DRIVER",1162
"ARM PMU PROFILING AND DEBUGGING","APPLIED MICRO (APM) X-GENE SOC PMU",2146
"ARM PMU PROFILING AND DEBUGGING","ARM INTERCONNECT PMU DRIVERS",4103
"ARM PMU PROFILING AND DEBUGGING","ARM PMU PROFILING AND DEBUGGING",50647
"ARM PMU PROFILING AND DEBUGGING","COMPUTE EXPRESS LINK PMU (CPMU)",1051
"ARM PMU PROFILING AND DEBUGGING","HISILICON HNS3 PMU DRIVER",1810
"ARM PMU PROFILING AND DEBUGGING","HISILICON PMU DRIVER",9593
"ARM PMU PROFILING AND DEBUGGING","RISC-V PMU DRIVERS",2176
"ARM PMU PROFILING AND DEBUGGING","STARFIVE STARLINK PMU DRIVER",733
"ARM PMU PROFILING AND DEBUGGING","SYNOPSYS DESIGNWARE PCIE PMU DRIVER",983
