"c_representative","c_section","c_size"
"Architecture support - MIPS general architecture support","Architecture support - MIPS general architecture support",0
"Architecture support - S390 general architecture support","Architecture support - S390 general architecture support",63125
"Architecture support - S390 general architecture support","Devices - S390 3270 device",550
"Architecture support - S390 general architecture support","Devices - S390 diag 288 watchdog",174
"Architecture support - S390 general architecture support","Devices - S390 floating interrupt controller",1324
"Architecture support - S390 general architecture support","Devices - VFIO",13018
"Architecture support - S390 general architecture support","Devices - vfio-ap",1275
"Architecture support - S390 general architecture support","Devices - vfio-ccw",1061
"Architecture support - S390 general architecture support","Devices - virtio-ccw",2489
"Architecture support - S390 general architecture support","Guest CPU Cores (KVM) - S390 KVM CPUs",4053
"Architecture support - S390 general architecture support","Guest CPU cores (TCG) - S390 TCG CPUs",50638
"Architecture support - S390 general architecture support","S390 Machines - S390 channel subsystem",4474
"Architecture support - S390 general architecture support","S390 Machines - S390 CPU models",1916
"Architecture support - S390 general architecture support","S390 Machines - S390 PCI",4132
"Architecture support - S390 general architecture support","S390 Machines - S390 SCLP-backed devices",2373
"Architecture support - S390 general architecture support","S390 Machines - S390 Virtio-ccw",17927
"Architecture support - S390 general architecture support","S390 Machines - S390-ccw boot",8113
"ARM Machines - Goldfish RTC","ARM Machines - Goldfish RTC",366
"ARM Machines - Netduino 2","ARM Machines - Netduino 2",62
"ARM Machines - Netduino Plus 2","ARM Machines - Netduino Plus 2",62
"ARM Machines - STM32VLDISCOVERY","ARM Machines - STM32VLDISCOVERY",131
"AVR Machines - Arduino","AVR Machines - Arduino",159
"AVR Machines - AVR MCUs","AVR Machines - AVR MCUs",2121
"Block drivers - Bootdevice","Block drivers - Bootdevice",430
"Block drivers - EBPF:","Block drivers - EBPF:",1278
"Block drivers - Image format fuzzer","Block drivers - Image format fuzzer",1412
"Block drivers - Multi-process QEMU","Block drivers - Multi-process QEMU",4187
"Block drivers - PVRDMA","Block drivers - PVRDMA",6438
"Build and test automation - Guest Test Compilation Support","Build and test automation - Guest Test Compilation Support",203
"Build and test automation - Integration Testing with the Avocado framework","Build and test automation - Integration Testing with the Avocado framework",10687
"Build and test automation - Integration Testing with the Avocado framework","Devices - ACPI/AVOCADO/BIOSBITS",539
"Build and test automation - Integration Testing with the Avocado framework","Devices - Guest Loader",314
"Build and test automation - Integration Testing with the Avocado framework","PowerPC Machines - PReP",2515
"Build and test automation - Integration Testing with the Avocado framework","Subsystems - Record/replay",3864
"Build and test automation - Integration Testing with the Avocado framework","Tiny Code Generator (TCG) - TCG Plugins",5738
"Build and test automation - Windows Hosted Continuous Integration","Build and test automation - Windows Hosted Continuous Integration",109
"Build System - GIT submodules","Build System - GIT submodules",104
"Build System - UI translations","Build System - UI translations",677
"Devices - Cirrus VGA","Devices - Cirrus VGA",3763
"Devices - EDID Generator","Devices - EDID Generator",761
"Devices - EDU","Devices - EDU",442
"Devices - Empty slot","Devices - Empty slot",128
"Devices - Generic Loader","Devices - Generic Loader",619
"Devices - Hyper-V VMBus","Devices - Hyper-V VMBus",3170
"Devices - Intel Hexadecimal Object File Loader","Devices - Intel Hexadecimal Object File Loader",63
"Devices - LED","Devices - LED",259
"Devices - MIPS CPS","Devices - MIPS CPS",1256
"Devices - MIPS GIC","Devices - MIPS GIC",878
"Devices - Network devices","ARM Machines - Allwinner-a10",6483
"Devices - Network devices","ARM Machines - Allwinner-h3",1980
"Devices - Network devices","ARM Machines - Calxeda Highbank",849
"Devices - Network devices","ARM Machines - SmartFusion2",2082
"Devices - Network devices","ARM Machines - Xilinx Zynq",7156
"Devices - Network devices","Devices - CAN bus subsystem and hardware",6226
"Devices - Network devices","Devices - e1000e",4502
"Devices - Network devices","Devices - e1000x",482
"Devices - Network devices","Devices - eepro100",2106
"Devices - Network devices","Devices - Network devices",64887
"Devices - Network devices","Devices - Network packet abstractions",2896
"Devices - Network devices","Devices - Rocker",7525
"Devices - Network devices","Devices - tulip",1317
"Devices - Network devices","Devices - Vmware",5493
"Devices - Network devices","Devices - Xilinx CAN",1598
"Devices - Network devices","HP-PARISC Machines - HP B160L",6684
"Devices - Network devices","M68K Machines - mcf5208",1680
"Devices - Network devices","MIPS Machines - Mipssim",542
"Devices - Network devices","PowerPC Machines - e500",6414
"Devices - OpenPIC interrupt controller","Devices - OpenPIC interrupt controller",1820
"Devices - pca954x","Devices - pca954x",258
"Devices - PCI","Devices - PCI",16302
"Devices - PCI","Devices - PCIE DOE",490
"Devices - ppc4xx","Devices - ppc4xx",6421
"Devices - ppc4xx","PowerPC Machines - 405 (ref405ep)",519
"Devices - ppc4xx","PowerPC Machines - Bamboo",344
"Devices - ppc4xx","PowerPC Machines - sam460ex",4200
"Devices - ramfb","Devices - ramfb",212
"Devices - Renesas RX peripherals","Devices - Renesas RX peripherals",1085
"Devices - Renesas RX peripherals","RX Machines - rx-gdbsim",318
"Devices - S390 storage attribute device","Devices - S390 storage attribute device",0
"Devices - S390 storage key device","Devices - S390 storage key device",0
"Devices - Standard VGA","Devices - Standard VGA",4335
"Devices - Unimplemented device","Devices - Unimplemented device",153
"Devices - USB","Devices - CanoKey",561
"Devices - USB","Devices - USB",45791
"Devices - USB","Devices - USB (serial adapter)",709
"Devices - vhost","Devices - vhost",23742
"Devices - vhost","Devices - vhost-user-blk",2368
"Devices - vhost","Devices - vhost-user-gpio",741
"Devices - vhost","Devices - vhost-user-gpu",3440
"Devices - vhost","Devices - vhost-user-rng",412
"Devices - vhost","Devices - virtiofs",14195
"Devices - virtio","ARM Machines - ARM PrimeCell and CMSDK devices",10030
"Devices - virtio","Devices - Character devices",15454
"Devices - virtio","Devices - IPack",1400
"Devices - virtio","Devices - megasas",4027
"Devices - virtio","Devices - SCSI",25672
"Devices - virtio","Devices - virtio",36513
"Devices - virtio","Devices - virtio-balloon",1487
"Devices - virtio","Devices - virtio-crypto",1452
"Devices - virtio","Devices - virtio-gpu",3644
"Devices - virtio","Devices - virtio-input",1794
"Devices - virtio","Devices - virtio-iommu",1605
"Devices - virtio","Devices - virtio-mem",1677
"Devices - virtio","Devices - virtio-rng",1028
"Devices - virtio","Devices - virtio-serial",1781
"Devices - virtio","M68K Machines - virt",1291
"Devices - virtio","RISC-V Machines - OpenTitan",2197
"Devices - virtio","X86 Machines - PC Chipset",11996
"Devices - Xilinx SPI","Devices - Xilinx SPI",1891
"Documentation - Build system architecture","Documentation - Build system architecture",481
"Documentation - GIT Data Mining Config","Documentation - GIT Data Mining Config",452
"Documentation - Incompatible changes","Documentation - Incompatible changes",399
"Guest CPU Cores (HAXM) - X86 HAXM CPUs","Guest CPU Cores (HAXM) - X86 HAXM CPUs",3072
"Guest CPU Cores (KVM) - X86 KVM CPUs","Guest CPU Cores (KVM) - X86 KVM CPUs",8798
"Guest CPU Cores (NVMM) - NetBSD Virtual Machine Monitor (NVMM) CPU support","Guest CPU Cores (NVMM) - NetBSD Virtual Machine Monitor (NVMM) CPU support",1405
"Guest CPU Cores (other accelerators) - HVF","Guest CPU Cores (other accelerators) - HVF",656
"Guest CPU Cores (other accelerators) - Overall","Guest CPU Cores (other accelerators) - Overall",486
"Guest CPU Cores (other accelerators) - WHPX CPUs","Guest CPU Cores (other accelerators) - WHPX CPUs",3386
"Guest CPU Cores (other accelerators) - X86 HVF CPUs","Guest CPU Cores (other accelerators) - X86 HVF CPUs",7771
"Guest CPU cores (TCG) - Alpha TCG CPUs","Alpha Machines",1964
"Guest CPU cores (TCG) - Alpha TCG CPUs","Guest CPU cores (TCG) - Alpha TCG CPUs",8798
"Guest CPU cores (TCG) - ARM TCG CPUs","ARM Machines - ARM ACPI Subsystem",1162
"Guest CPU cores (TCG) - ARM TCG CPUs","ARM Machines - ASPEED BMCs",19113
"Guest CPU cores (TCG) - ARM TCG CPUs","ARM Machines - Canon DIGIC",823
"Guest CPU cores (TCG) - ARM TCG CPUs","ARM Machines - Emcraft M2S-FG484",126
"Guest CPU cores (TCG) - ARM TCG CPUs","ARM Machines - Exynos",8408
"Guest CPU cores (TCG) - ARM TCG CPUs","ARM Machines - Gumstix",168
"Guest CPU cores (TCG) - ARM TCG CPUs","ARM Machines - i.MX25 PDK",1587
